,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,zipcode,lat,long,renovated_post2000,has_basement
21,2524049179,8/26/2014,2000000.0,3,3,3050,44867,1,0.0,4.0,3,9,1950_to_1975,98040,47.5316,-122.23299999999999,0,1
49,822039084,3/11/2015,1350000.0,3,2,2753,65005,1,1.0,2.0,5,9,1950_to_1975,98070,47.4041,-122.45100000000001,0,1
69,1802000060,6/12/2014,1330000.0,5,2,3200,20158,1,0.0,0.0,3,8,1950_to_1975,98004,47.6303,-122.215,0,1
125,4389200955,3/2/2015,1450000.0,4,3,2750,17789,2,0.0,0.0,3,8,pre1950,98004,47.6141,-122.212,0,1
153,7855801670,4/1/2015,2250000.0,4,3,5180,19850,2,0.0,3.0,3,12,1997_to_2015,98006,47.562,-122.162,0,1
216,46100204,2/21/2015,1510000.0,5,3,3300,33474,1,0.0,3.0,3,9,1950_to_1975,98040,47.5673,-122.21,0,1
246,2025069065,9/29/2014,2400000.0,4,2,3650,8354,1,1.0,4.0,3,9,1997_to_2015,98074,47.6338,-122.072,0,1
269,7960900060,5/4/2015,2900000.0,4,3,5050,20100,2,0.0,2.0,3,11,1975_to_1997,98004,47.6312,-122.223,0,1
270,4054500390,10/7/2014,1370000.0,4,5,5310,57346,2,0.0,0.0,4,11,1975_to_1997,98077,47.7285,-122.042,0,0
282,7424700045,5/13/2015,2050000.0,5,3,3830,8480,2,0.0,1.0,5,9,pre1950,98122,47.6166,-122.287,0,1
300,3225069065,6/24/2014,3080000.0,4,5,4550,18641,1,1.0,4.0,3,10,1997_to_2015,98074,47.6053,-122.07700000000001,0,1
312,1860600135,5/2/2014,2380000.0,5,2,3650,9050,2,0.0,4.0,5,10,pre1950,98119,47.6345,-122.367,0,1
313,4139480200,6/18/2014,1380000.0,4,3,4290,12103,1,0.0,3.0,3,11,1975_to_1997,98006,47.5503,-122.102,0,1
314,4139480200,12/9/2014,1400000.0,4,3,4290,12103,1,0.0,3.0,3,11,1975_to_1997,98006,47.5503,-122.102,0,1
384,713500030,7/28/2014,1350000.0,5,4,4800,14984,2,0.0,2.0,3,11,1997_to_2015,98006,47.5543,-122.148,0,0
419,8678500060,7/10/2014,1550000.0,5,4,6070,171626,2,0.0,0.0,3,12,1997_to_2015,98024,47.5954,-121.95,0,0
427,9808650060,2/25/2015,1300000.0,3,2,2350,15021,1,0.0,0.0,4,8,1975_to_1997,98004,47.6408,-122.219,0,1
450,4055700030,5/2/2015,1450000.0,3,4,3970,24920,2,0.0,2.0,3,10,1975_to_1997,98034,47.7183,-122.258,0,1
484,2625069070,4/10/2015,1390000.0,4,3,4860,181319,2,0.0,0.0,3,9,1975_to_1997,98074,47.6179,-122.005,0,0
509,3885805665,6/12/2014,1490000.0,4,4,4030,10800,2,0.0,0.0,3,10,1997_to_2015,98033,47.6821,-122.196,0,0
518,4386700135,11/14/2014,2250000.0,4,2,4760,8036,2,0.0,0.0,5,9,pre1950,98112,47.6415,-122.285,0,1
527,3225079035,6/18/2014,1600000.0,6,5,6050,230652,2,0.0,3.0,3,11,1997_to_2015,98024,47.6033,-121.943,0,0
540,622049114,2/18/2015,2130000.0,3,2,5403,24069,2,1.0,4.0,4,12,1975_to_1997,98166,47.4169,-122.348,0,0
551,1373800295,10/13/2014,1450000.0,3,3,4380,6320,2,0.0,3.0,5,10,1950_to_1975,98199,47.6452,-122.411,0,1
556,5486800070,6/20/2014,1950000.0,7,4,4640,15235,2,0.0,1.0,3,11,1950_to_1975,98040,47.5666,-122.23100000000001,1,1
656,3760500116,11/20/2014,3070000.0,3,2,3930,55867,1,1.0,4.0,4,8,1950_to_1975,98034,47.7022,-122.22399999999999,0,1
691,5450900060,9/23/2014,1480000.0,5,2,4570,19252,2,0.0,0.0,5,10,1950_to_1975,98040,47.5553,-122.22,0,0
722,2225059214,8/8/2014,1580000.0,4,3,4670,51836,2,0.0,0.0,4,12,1975_to_1997,98005,47.635,-122.164,0,0
738,6613000140,11/13/2014,1300000.0,3,3,3400,5979,2,0.0,0.0,4,9,pre1950,98105,47.6585,-122.273,0,1
757,9273200140,1/21/2015,1310000.0,2,2,3950,3938,2,0.0,4.0,3,10,1975_to_1997,98116,47.5912,-122.384,0,1
779,1954700695,6/12/2014,2250000.0,5,4,4860,9453,2,0.0,1.0,5,10,pre1950,98112,47.6196,-122.286,0,1
792,8081020370,7/9/2014,1360000.0,4,4,3550,11000,1,0.0,2.0,3,11,1997_to_2015,98006,47.5506,-122.134,0,1
814,4045100075,3/25/2015,2400000.0,4,4,4890,15188,2,0.0,2.0,3,11,1997_to_2015,98040,47.5602,-122.227,0,1
946,2925059135,4/8/2015,1320000.0,3,3,2230,12968,2,0.0,0.0,3,9,1975_to_1997,98004,47.6271,-122.197,0,0
1030,5700004028,4/17/2015,2450000.0,4,4,4250,6552,2,0.0,3.0,4,10,1997_to_2015,98144,47.5747,-122.28299999999999,0,1
1099,7237500390,11/10/2014,1570000.0,5,4,6070,14731,2,0.0,0.0,3,11,1997_to_2015,98059,47.5306,-122.134,0,0
1150,4055701200,4/21/2015,1960000.0,4,3,3120,7898,1,1.0,4.0,4,8,1950_to_1975,98034,47.7165,-122.259,0,1
1159,7533800295,8/19/2014,1750000.0,4,3,3460,7749,2,0.0,1.0,3,10,pre1950,98115,47.6849,-122.273,0,1
1162,1247600105,10/20/2014,5110000.0,5,5,8010,45517,2,1.0,4.0,3,12,1997_to_2015,98033,47.6767,-122.211,0,1
1215,6321000045,12/22/2014,1880000.0,5,3,4110,7920,2,0.0,3.0,3,9,pre1950,98122,47.617,-122.28200000000001,0,1
1270,4389200765,6/25/2014,2300000.0,4,3,4250,8570,2,0.0,0.0,3,9,1997_to_2015,98004,47.6154,-122.21,0,0
1280,8964800445,2/9/2015,2260000.0,3,4,3110,14872,1,0.0,0.0,3,10,1997_to_2015,98004,47.6178,-122.209,0,0
1313,7558700030,4/13/2015,5300000.0,6,6,7390,24829,2,1.0,0.0,4,12,1975_to_1997,98040,47.5631,-122.21,0,1
1359,1925069082,5/11/2015,2200000.0,5,4,4640,22703,2,1.0,4.0,5,8,1950_to_1975,98052,47.6393,-122.09700000000001,0,1
1418,8073000550,4/15/2015,1700000.0,4,4,3190,17186,2,1.0,4.0,3,10,1997_to_2015,98178,47.5115,-122.24600000000001,0,0
1421,1370801331,8/4/2014,1400000.0,4,2,4040,9630,1,0.0,3.0,4,9,1950_to_1975,98199,47.6408,-122.41,0,1
1431,9471200370,3/30/2015,2540000.0,4,3,3710,20000,2,0.0,2.0,5,10,pre1950,98105,47.6696,-122.26100000000001,0,1
1438,7431500341,4/24/2015,1360000.0,3,2,3600,21399,1,0.0,3.0,3,9,pre1950,98008,47.6191,-122.09899999999999,1,1
1446,8907500070,4/13/2015,5350000.0,5,5,8000,23985,2,0.0,4.0,3,12,1997_to_2015,98004,47.6232,-122.22,0,1
1469,5452800310,4/20/2015,1330000.0,5,3,3340,10796,1,0.0,2.0,3,9,1950_to_1975,98040,47.5421,-122.229,0,1
1537,3425059222,11/24/2014,1300000.0,6,4,6563,32670,2,0.0,0.0,3,10,1997_to_2015,98005,47.6078,-122.15700000000001,0,1
1582,8964800370,10/22/2014,1380000.0,3,2,1850,10572,1,0.0,0.0,4,8,1950_to_1975,98004,47.6194,-122.208,0,0
1674,5700003985,10/29/2014,2250000.0,4,4,4440,8125,2,0.0,3.0,5,10,pre1950,98144,47.5744,-122.28299999999999,0,1
1728,5021900140,11/20/2014,1680000.0,5,4,4830,11466,2,0.0,0.0,3,10,1997_to_2015,98040,47.5774,-122.22200000000001,0,1
1730,8081500060,10/1/2014,1930000.0,4,3,4280,20296,2,0.0,0.0,4,11,1975_to_1997,98004,47.6377,-122.212,0,0
1768,625059051,9/3/2014,2350000.0,4,2,4370,22863,2,0.0,3.0,4,10,pre1950,98033,47.6878,-122.215,0,0
1815,1337300070,9/24/2014,1320000.0,4,2,3180,6105,2,0.0,0.0,3,10,pre1950,98112,47.6255,-122.314,0,0
1816,9290900160,9/11/2014,1430000.0,4,2,3380,27589,2,0.0,0.0,3,10,1950_to_1975,98004,47.6292,-122.225,0,0
1833,7015200335,6/19/2014,1530000.0,4,3,3620,5131,2,0.0,3.0,4,11,pre1950,98119,47.6499,-122.37,0,1
1846,3271800295,2/3/2015,1570000.0,5,4,5620,5800,3,0.0,3.0,3,11,1997_to_2015,98199,47.6482,-122.412,0,1
1892,3066120030,1/27/2015,1580000.0,4,4,3810,9916,2,0.0,0.0,3,11,1975_to_1997,98040,47.5739,-122.234,0,0
1942,1118001805,7/24/2014,1720000.0,4,4,4490,7623,2,0.0,0.0,4,10,pre1950,98112,47.6315,-122.29,0,1
1943,3398800055,11/19/2014,2400000.0,4,4,4090,24825,2,0.0,0.0,4,11,pre1950,98102,47.6338,-122.319,0,1
1985,1118002090,6/28/2014,1600000.0,3,4,2820,7200,2,0.0,0.0,4,10,pre1950,98112,47.6298,-122.29,0,1
2021,3892500070,7/28/2014,1480000.0,3,4,4070,26000,2,0.0,0.0,3,11,1975_to_1997,98033,47.659,-122.17399999999999,0,0
2038,9471200200,3/25/2015,2530000.0,4,4,5040,16048,1,0.0,3.0,3,10,pre1950,98105,47.6702,-122.26,0,1
